City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Waingapu,ID,86.95,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
225,Voh,NC,82.94,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
226,Dingle,PH,85.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
227,Arraias,BR,66.13,broken clouds,-12.9288,-46.9437,Hotel Japão
228,Jijiga,ET,71.56,few clouds,9.35,42.8,RAMAAS HOTEL
229,Nelson Bay,AU,83.95,clear sky,-32.7167,152.15,Mantra Nelson Bay
230,Broken Hill,AU,79.09,clear sky,-31.95,141.4333,Royal Exchange Hotel
231,Tonota,BW,70.36,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
232,Nuevo Progreso,MX,72.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
233,Loubomo,CG,72.64,overcast clouds,-4.1997,12.6739,La Dolisienne
234,Domoni,KM,84.34,overcast clouds,-12.2569,44.5319,Al Djadid
235,Louis Trichardt,ZA,65.7,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
236,Alugan,PH,82.08,overcast clouds,12.2188,125.4808,JM Lodge
237,Salinopolis,BR,77.67,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
238,Canavieiras,BR,75.47,overcast clouds,-15.675,-38.9472,Bahiadomizil
239,Puerto Madryn,AR,68.2,clear sky,-42.7692,-65.0385,Hotel Tolosa
240,Cururupu,BR,73.27,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
241,Floresta,BR,75.85,broken clouds,-8.6011,-38.5686,Hotel Floresta
242,Palu,ID,80.56,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
243,Pimentel,PE,70.32,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
244,Port Augusta,AU,81.72,clear sky,-32.5,137.7667,Majestic Oasis Apartments
245,Dibulla,CO,75.11,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
246,Caravelas,BR,74.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
247,Acarau,BR,78.1,overcast clouds,-2.8856,-40.12,castelo pizzaria
248,Mahajanga,MG,86.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
249,Marsabit,KE,71.74,clear sky,2.3284,37.9899,Chicho Hotel
250,Dicabisagan,PH,81.3,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
251,Meulaboh,ID,85.91,scattered clouds,4.1363,96.1285,Kost Pria
252,Bendigo,AU,78.85,clear sky,-36.7667,144.2833,The Hotel Shamrock
253,Turbat,PK,75.87,clear sky,26.0023,63.044,Mubashar Quarters
254,Masindi,UG,78.82,scattered clouds,1.6744,31.715,New Court View Hotel
255,Booue,GA,73.81,light rain,-0.0921,11.9385,Splendeur de l'équateur
